Longitude,Latitude,Magnitude
-121.572,36.83433,3.2
-121.54166,36.82117,2.92
-121.56267,36.83117,3.1
-121.56017,36.83533,3.94
-121.56133,36.83383,3.37
-121.04967,36.46733,3.48
-121.5605,36.8405,2.57
-121.14616,36.54733,2.53
-121.46633,36.98967,3.56
-121.6805,37.3075,3.2
-121.575,36.84017,2.67
-121.48,36.984,3.05
-121.17033,36.57717,2.87
-121.61884,36.8835,2.54
-121.59566,36.88367,3.69
-121.61983,36.88817,2.55
-121.408,36.84983,4.7
-121.41283,36.85966,3.41
-121.278,36.657,3.47
-121.27966,36.66017,2.72
-121.0485,36.47717,3.38
-121.46267,36.97833,3.57
-120.586,36.00867,2.92
-120.58383,36.0035,2.96
-120.57083,36.00733,2.83
-121.00433,36.43833,3.54
-121.379,36.76933,3.35
-120.81384,36.2145,3.14
-121.713,37.00967,2.71
-120.23383,35.89433,3.57
-121.01633,36.44267,2.56
-121.742,37.38583,2.67
-121.09333,36.51266,2.58
-121.03367,36.45333,2.69
-121.2645,36.7595,3.08
-120.78117,36.16767,3.06
-121.71833,37.3485,2.56
-122.93417,37.969,2.89
-121.04916,36.46417,2.64
-121.026,36.52633,2.53
-121.42184,35.68367,2.71
-120.08683,36.5725,3
-120.91734,36.34167,3.13
-121.357,36.71817,3.07
-121.19334,36.59333,4.13
-122.63133,38.2935,2.69
-121.01683,36.43267,2.71
-121.10284,36.56283,2.7
-121.75383,37.32983,2.92
-121.61633,36.88033,3.22
-121.17367,36.5695,2.56
-120.35167,35.79984,3
-121.442,35.991,3.44
-121.13216,36.56317,2.57
-120.84783,36.2725,3.44
-121.10966,36.54133,2.54
-121.67633,37.294,2.63
-121.35516,36.79133,3.19
-120.97117,36.03367,3.44
-120.8505,36.27217,2.57
-121.22784,36.15833,2.85
-120.6445,36.064,2.87
-121.0605,36.48233,2.56
-121.08916,36.50683,2.72
-118.66217,36.2435,3.03
-118.898,36.29033,4.08
-121.66367,36.99517,3.57
-121.1505,36.55967,3.05
-121.4395,37.12133,2.75
-120.39317,35.97217,3.4
-121.65017,36.99533,2.62
-121.08833,36.53883,3.42
-121.08833,36.536,3.42
-120.34766,36.57533,3.3
-120.88817,36.31717,2.55
-121.16917,36.57017,3.32
-121.17133,36.56983,2.98
-121.3905,35.7615,3.07
-121.10217,36.54567,2.81
-122.52917,37.73017,2.88
-121.143,37.10617,3.05
-120.97234,36.426,3.12
-120.803,36.23367,2.56
-121.929,37.81433,2.66
-121.763,37.41417,3.1
-121.168,36.56633,2.51
-121.07017,36.56167,3.09
-118.39167,36.44017,4.05
-120.62,36.04283,4.15
-120.29833,36.546,2.86
-121.38416,36.7755,3.39
-121.15784,36.5665,2.63
-120.50333,36.041,3.84
-120.34517,36.57133,3.4
-121.26117,36.627,2.8
-121.03783,36.45984,3
-121.93,37.807,2.86
-121.93266,37.80633,2.69
-121.064,36.5635,3.05
-122.22533,38.40417,3.04
-122.26383,38.36317,3.37
-121.936,37.80517,3.04
-121.93616,37.80883,2.93
-121.93317,37.81116,3.51
-121.93967,37.805,3.32
-121.933,37.81116,2.66
-121.938,37.80517,2.63
-120.531,35.94584,2.83
-121.93567,37.81384,2.66
-121.94633,37.80467,3
-121.93417,37.81333,3.5
-121.93884,37.80583,2.83
-121.9275,37.8095,3.23
-121.93767,37.80416,3.8
-121.9295,37.80533,2.55
-121.9405,37.798,2.74
-120.87683,36.0065,3.4
-121.6135,36.87233,3
-121.93333,37.81267,2.8
-121.941,37.801,3.4
-121.93684,37.80467,2.62
-121.93684,37.80367,3.5
-121.93884,37.80967,2.86
-121.9295,37.80983,2.59
-121.929,37.8075,3.1
-121.93884,37.80133,2.55
-121.93667,37.80117,2.66
-121.93433,37.804,2.59
-121.72533,37.35517,2.52
-121.7215,37.35033,2.95
-121.855,37.4355,2.55
-121.93667,37.8015,2.62
-121.93083,37.789,2.86
-121.22884,37.03733,2.96
-121.51917,36.80567,2.72
-121.79583,37.3165,2.54
-121.08633,35.79833,2.82
-121.74866,37.05633,2.5
-121.137,36.5795,3.06
-121.64684,37.26283,2.78
-121.48483,36.46617,2.67
-121.774,37.432,2.5
-122.62666,36.8335,2.81
-120.75066,36.1905,3.03
-121.58967,37.34983,2.5
-120.83,36.25117,2.79
-121.04716,36.58133,2.68
-121.0365,36.461,2.77
-120.87634,36.19667,2.58
-121.93266,37.79433,3.4
-121.93667,37.79467,3
-121.9285,37.78967,2.6
-121.92433,37.7935,2.5
-121.93034,37.79,3.09
-121.92733,37.7975,2.69
-121.936,37.80483,3.3
-121.923,37.81617,2.56
-121.92533,37.79517,3.87
-121.94733,37.79917,3.9
-121.92783,37.78733,3.03
-121.926,37.78883,3.03
-121.929,37.80883,3.17
-121.9295,37.78367,3.1
-121.52067,37.11467,3
-121.93433,37.7925,2.69
-121.94434,37.6985,4.2
-121.93383,37.80017,4.2
-121.93,37.79467,2.57
-121.92966,37.7935,3.2
-121.93417,37.79917,2.56
-121.9475,37.7985,2.78
-121.92883,37.80333,2.98
-121.931,37.79083,2.98
-121.93333,37.80083,2.64
-121.93283,37.795,2.71
-121.937,37.80383,2.59
-121.931,37.79733,2.58
-121.93166,37.7995,3.1
-121.92783,37.79817,2.75
-120.87483,36.00433,3.29
-121.17184,36.57633,2.98
-121.9305,37.79467,3.27
-121.92983,37.80067,3
-121.9285,37.805,2.61
-121.09133,36.61617,2.75
-121.93233,37.79967,2.64
-121.70316,37.18717,2.87
-120.78883,36.22667,3.19
-121.51667,37.10883,2.54
-120.98967,36.41167,3.26
-121.51667,37.11033,2.8
-121.28484,36.65217,3.38
-121.83483,37.47867,2.78
-121.51933,37.11283,3.34
-121.51933,37.1095,3.16
-121.24717,36.62717,2.75
-121.93667,37.79633,2.8
-121.118,36.58317,2.73
-121.57133,36.96033,2.68
-121.51417,37.111,3
-121.68066,37.30617,2.55
-121.35733,36.76367,3.2
-121.20766,36.60517,3.97
-121.93684,37.80783,2.75
-121.57616,36.96083,3.29
-121.40683,36.8375,2.63
-121.82217,37.99866,3.6
-121.933,37.7975,2.56
-121.12334,36.55667,3.19
-121.722,37.35283,3.08
-122.2165,38.41967,3.5
-121.78133,37.70167,2.64
-121.77666,37.7015,2.63
-121.762,37.469,2.55
-120.96233,36.3985,2.57
-121.17934,36.581,2.5
-121.64217,36.98683,3.61
-121.21633,36.60517,2.74
-121.9335,37.792,2.98
-121.93684,37.794,3.23
-121.13483,36.56833,3.72
-121.932,37.79016,2.83
-121.30083,36.67417,3.17
-121.1275,36.53717,3.59
-121.16866,36.57033,3.34
-121.3405,36.8875,3.9
-121.34167,36.886,2.54
-121.083,36.50083,2.5
-121.18767,36.586,3.72
-121.06517,36.48083,3.07
-121.99783,37.14283,3.4
-120.6615,36.28583,3
-121.61234,36.88083,3.1
-120.932,36.36167,2.92
-120.49817,36.487,3
-120.4995,36.5045,3.64
-121.22366,36.61583,3.05
-121.22683,36.615,3.11
-121.0975,36.645,3.48
-122.065,37.97766,2.74
-120.98233,36.43133,3.14
-121.07183,36.53533,3.1
-120.54984,36.42967,3.46
-120.5745,36.372,2.93
-121.1295,36.55067,2.62
-121.64983,37.00183,2.78
-121.55917,36.01,3.78
-121.56316,36.00233,2.87
-121.60667,36.87767,3.93
-121.05383,36.47167,2.88
-121.936,37.80467,3.35
-120.594,35.41967,2.79
-121.96033,37.78583,2.64
-121.09917,36.613,3.22
-120.621,36.016,2.52
-121.07283,36.53533,3.93
-121.08117,36.53833,3.07
-121.07867,36.53517,3.62
-120.864,36.28483,3.75
-120.7045,36.13633,3.19
-121.14533,36.54967,2.81
-121.0145,36.44133,2.78
-121.08633,36.57867,2.62
-121.10284,36.5285,3.24
-121.6725,37.287,2.77
-120.67133,36.095,2.69
-118.86667,37.591,3.3
-121.28783,36.58517,4.6
-121.28817,36.587,2.68
-122.124,38.26967,3.08
-121.63333,36.89083,3.14
-121.711,37.3555,2.61
-120.9165,36.34367,2.72
-121.19984,36.59167,2.85
-121.44833,37.00566,2.55
-122.02817,36.75483,4.7
-122.0185,36.75233,3.2
-122.0085,36.7655,2.5
-119.89817,35.81533,4.07
-121.71867,36.1825,3
-121.28933,36.77533,3.56
-121.10567,36.528,2.9
-121.1035,36.53,3.16
-121.26017,36.6625,2.8
-121.40517,36.73734,2.67
-120.6075,35.41433,2.53
-122.231,37.86583,2.59
-121.255,36.63517,3.81
-120.31467,36.21917,2.5
-121.67133,36.14083,3.7
-121.1545,36.55983,3.27
-121.254,36.63417,3.5
-121.88216,37.52067,3.32
-120.86916,36.2795,3.19
-121.1665,36.5705,3.48
-121.38233,36.78183,2.92
-121.264,36.63983,2.7
-120.80566,36.24067,2.77
-121.07733,36.55017,2.92
-122.23283,37.86567,2.72
-122.02067,36.75683,3.4
-120.97583,36.81317,3.23
-120.89367,35.99117,2.81
-120.88683,36.71267,2.61
-121.65466,37.26733,2.66
-121.59333,37.37117,2.72
-121.05367,36.47733,2.52
-121.2495,36.63583,2.94
-121.471,36.91433,3.6
-121.4705,36.91167,3.15
-121.965,38.065,3.6
-121.51117,36.8055,3.59
-120.65266,36.07167,3.67
-120.6525,36.26167,3.23
-121.534,36.81767,3.3
-121.52783,36.81583,2.59
-121.536,36.81833,2.71
-121.31617,36.68467,2.8
-121.26817,36.64633,3.42
-120.88233,36.00583,3.01
-121.64933,37.21267,2.59
-121.00883,36.4475,3.65
-121.132,36.55717,2.88
-120.1305,36.149,3.1
-121.64883,37.213,2.71
-121.652,37.21117,3.19
-121.60533,36.96817,3.47
-121.65134,37.22,2.63
-121.64967,37.21467,2.88
-121.57616,36.84566,4.01
-121.17966,36.63133,2.67
-121.255,36.63817,2.83
-121.64684,37.21617,2.87
-120.80733,36.24317,2.67
-121.4895,37.03483,3.39
-120.40784,36.34083,3.2
-120.181,36.01783,3.3
-120.58733,36.02467,2.81
-120.45233,36.3115,2.72
-120.78717,36.694,2.97
-121.04617,36.4645,2.61
-121.22317,36.6155,2.89
-121.5795,36.93267,3.21
-121.17083,36.57417,3.11
-122.31667,37.11383,2.59
-120.81133,36.24533,2.8
-121.097,37.0945,2.55
-121.00716,36.4395,2.98
-120.9985,36.43567,3.03
-121.411,35.868,2.88
-121.13433,36.539,2.55
-121.08767,36.51033,3.1
-121.21983,36.6135,2.67
-122.03933,37.64034,3.19
-122.53367,37.71684,2.64
-121.58033,36.93317,3.1
-121.63116,36.98117,3.04
-120.9865,36.4075,2.6
-121.77283,37.43217,3.24
-121.1265,36.57683,2.58
-122.22467,37.4035,3.5
-121.92484,37.812,3
-121.5075,36.8175,3.35
-121.29117,35.84583,3.02
-121.9325,37.80183,3.37
-121.93134,37.80367,3.56
-121.78584,37.0205,2.66
-121.718,37.02,2.61
-121.71633,37.01967,2.88
-121.12233,36.61217,2.61
-120.79217,36.227,2.6
-121.79166,36.99767,2.98
-121.78284,37.001,2.5
-121.24983,36.62967,3.2
-121.70934,37.01483,3.3
-120.45634,36.56717,3.17
-121.53633,36.82067,3.42
-121.53633,36.82067,3.01
-121.53667,36.82033,2.8
-120.40334,35.859,2.58
-121.0215,36.46033,2.98
